,id,dimension,nombre,regimen,localidad,capacidad,geometry,r1_caminable,r1_bicicleta,r1_transporte
1,46000109,educacion,CENTRE PRIVAT MARE DE DÉU DE L'OLIVAR I,PRIV. CONC.,ALAQUÀS,40.0,POINT (718272.3541966609 4370456.323965696),0.00229766244422879,0.0007126415082194286,0.0008734556853624417
2,46000110,educacion,CENTRE PRIVAT MADRE JOSEFA CAMPOS,PRIV. CONC.,ALAQUÀS,9.0,POINT (718900.4320947106 4370659.997689506),0.04365199473975787,0.015759603327093925,8.828134717401152e-05
3,46000158,educacion,CEIP AMPARO ALABAU,PÚB.,ALAQUÀS,37.0,POINT (719295.6840662681 4370831.250005849),0.006496127450335943,0.0020992652972518728,0.001037830721279604
4,46000171,educacion,CEIP BONAVISTA,PÚB.,ALAQUÀS,60.0,POINT (719321.5344136528 4370310.191687577),0.001049327215318602,0.000817671942578889,0.0019139061020960744
6,46000249,educacion,CENTRE PRIVAT SANTA ANA Y SAN JOSÉ DE LA MONTAÑA,PRIV. CONC.,ALBAL,22.0,POINT (722622.795338574 4364032.347714249),0.0021715151076994736,0.002200927836790947,0.0005535481765945592
7,46000262,educacion,CEIP SAN BLAS,PÚB.,ALBAL,8.0,POINT (722977.2217785894 4364005.408112411),0.004367778640786098,0.00356662780535817,0.00011549962522683008
8,46000274,educacion,CEIP JUAN ESTEVE MUÑOZ,PÚB.,ALBAL,37.0,POINT (722613.1958536222 4363699.574382209),0.003485403724785299,0.0037198736207886907,0.00164592764328716
13,46000377,educacion,CENTRE PRIVAT PARROQUIAL DON JOSÉ LLUCH,PRIV. CONC.,ALBORAIA,60.0,POINT (727510.3018216968 4375651.508583849),0.0029833247672746994,0.006729594460325074,0.0041017702172749405
14,46000407,educacion,CENTRE PRIVAT SANTA MARÍA-MARIANISTAS,PRIV. CONC.,ALBORAIA,46.0,POINT (727534.7301578107 4375113.283824214),0.10714358542161413,0.005769066158221063,0.0021806528359296497
15,46000444,educacion,CEIP CERVANTES,PÚB.,ALBORAIA,18.0,POINT (728042.4915437612 4375893.4815904815),0.003349010153425278,0.0009900277279495352,0.0017351272010421685
16,46000456,educacion,CEIP TOMÁS ALBERT,PÚB.,ALBUIXECH,24.0,POINT (729683.4185551633 4380649.851959071),0.002167565700356494,0.008982124301096864,0.0026229833935126298
17,46000468,educacion,CENTRE PRIVAT SANTÍSIMO CRISTO DE LA FE,PRIV. CONC.,ALCÀSSER,25.0,POINT (720215.22270614 4360799.792242977),0.0012508329631481625,0.001490261130154978,0.0016253981018195132
18,46000493,educacion,CEIP 9 D'OCTUBRE,PÚB.,ALCÀSSER,34.0,POINT (719844.4607518805 4360774.971061339),0.004014545428118899,0.0014002509444678041,0.0010826413306858943
19,46000501,educacion,CEIP JAUME I,PÚB.,ALCÀSSER,33.0,POINT (719884.1372909942 4361155.682712318),0.009022727338971036,0.001070497929196602,0.0022059101049894778
35,46000894,educacion,CEIP JUAN ANTONIO MARTÍNEZ TORRES,PÚB.,ALDAIA,7.0,POINT (717631.4222584455 4370718.691169954),0.001361647254132286,0.0013513646350487912,0.0001784485368096841
36,46000900,educacion,CEIP NUESTRA SEÑORA DEL CARMEN,PÚB.,ALDAIA,12.0,POINT (717940.5703220722 4372463.917470777),0.0022511226888984014,0.00848622715831533,0.0004627548044914961
37,46000924,educacion,CEIP AUSIÀS MARCH,PÚB.,ALDAIA,39.0,POINT (717976.3003168178 4371735.512576748),0.002646380928994595,0.0026581043299395857,0.0004965089569263614
38,46000936,educacion,"CENTRE PRIVAT GUÍA, SL",PRIV. CONC.,ALFAFAR,19.0,POINT (725053.8489699643 4366779.448247056),0.000977503643060778,0.00019701263696629345,0.0024197954845357472
39,46000948,educacion,CENTRE PRIVAT MARÍA INMACULADA,PRIV. CONC.,ALFAFAR,23.0,POINT (724423.031972089 4367047.584039632),0.015741038808596675,0.00019064107079266277,0.0009011259540484212
40,46000951,educacion,CENTRE PRIVAT VAMAR,PRIV. CONC.,ALFAFAR,13.0,POINT (724813.9099242436 4367179.879385347),0.0025159121458393167,0.0020683416426731903,0.00107049792020692
41,46000997,educacion,CEIP ORBA,PÚB.,ALFAFAR,23.0,POINT (723678.9389417287 4366359.874095479),0,0.004844346075253469,0.011192334594895678
42,46001035,educacion,CENTRE PRIVAT RAMÓN Y CAJAL,PRIV. CONC.,ALFARA DEL PATRIARCA,13.0,POINT (724429.466077208 4380815.988814285),0.001399862147355796,0.0009171533926981593,0.001065152335915011
43,46001047,educacion,CEIP DOCTORA ANNA LLUCH,PÚB.,ALFARA DEL PATRIARCA,21.0,POINT (724964.8130910596 4380398.72021694),0.004059288483902102,0.000504985688051927,0.004844346075253469
55,46001254,educacion,CENTRE PRIVAT SAGRADO CORAZÓN DE JESÚS,PRIV. CONC.,ALGINET,24.0,POINT (718402.0697875645 4348686.394478082),0.7575905151000911,0.0022551821073043985,0.0017226750702792775
56,46001291,educacion,CEIP PEPITA GREUS,PÚB.,ALGINET,47.0,POINT (717900.4045595388 4348968.303772861),0.007862503764104712,0.00869576953184022,0.001926251022314992
57,46001308,educacion,CENTRE PRIVAT PALMA ALMÀSSERA,PRIV. CONC.,ALMÀSSERA,16.0,POINT (727399.7522478485 4377222.316147657),0.003255241600478371,0.46729644097300294,0.006165786114990432
